"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Push the Limit","R","U","139783","6.94","20146","9.40","27930","23.2%","51.8%","4554","48.0%","8464","57.9%","13018","54.4%","14757","49.4%","5.0pp"
"Reckless Velocitaur","R","U","132201","6.21","14190","9.34","25715","30.7%","50.9%","4309","47.6%","6003","50.6%","10312","49.3%","15386","51.9%","-2.6pp"
"Road Rage","R","U","82439","3.47","19454","4.38","101394","85.9%","55.0%","17513","56.1%","25875","55.9%","43388","56.0%","57696","54.2%","1.8pp"
"Skycrash","R","U","105480","4.50","17570","6.10","79013","75.0%","53.9%","13724","52.7%","20679","55.7%","34403","54.5%","44278","53.5%","1.1pp"
"Spire Mechcycle","R","U","107230","4.70","14697","6.59","52445","60.2%","51.5%","8647","48.4%","12745","50.9%","21392","49.9%","30571","52.5%","-2.6pp"
"Thunderhead Gunner","R","C","274775","5.00","56544","6.38","269362","78.4%","54.7%","45458","54.1%","72108","57.3%","117566","56.1%","150521","53.6%","2.5pp"
"Tyrox, Saurid Tyrant","R","U","129657","5.81","16196","8.55","49596","50.9%","53.7%","8924","54.8%","11778","52.2%","20702","53.3%","28010","54.0%","-0.7pp"
"Afterburner Expert","G","R","15488","1.69","9770","1.68","55125","91.3%","56.8%","9916","60.4%","13553","58.1%","23469","59.1%","31344","55.0%","4.1pp"
"Agonasaur Rex","G","R","13477","1.48","9849","1.46","58631","93.7%","58.7%","10123","63.4%","14900","64.9%","25023","64.3%","33060","54.2%","10.0pp"
"Alacrian Jaguar","G","C","350650","7.03","40690","10.46","67201","27.3%","52.6%","11227","50.3%","16118","51.1%","27345","50.7%","39492","53.8%","-3.1pp"
"Autarch Mammoth","G","U","57925","2.59","24697","2.86","142094","92.8%","56.9%","23820","56.5%","35203","59.6%","59023","58.3%","80893","55.7%","2.7pp"
"Beastrider Vanguard","G","C","282556","4.83","58334","6.50","310301","86.2%","56.3%","55641","55.8%","74665","56.7%","130306","56.3%","178762","56.3%","-0.0pp"
