"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Mardu Devotee","W","C","61559","5.42","14983","6.50","80556","84.8%","59.7%","14895","62.9%","16623","58.4%","31518","60.5%","48975","59.3%","1.2pp"
"Osseous Exhale","W","C","50237","4.12","8847","5.78","44198","82.7%","55.4%","7566","54.6%","10317","56.9%","17883","55.9%","26250","54.9%","1.0pp"
"Poised Practitioner","W","C","66541","6.52","7353","9.49","16962","37.4%","55.8%","2917","55.2%","3730","54.2%","6647","54.6%","10293","56.5%","-1.9pp"
"Rally the Monastery","W","U","15662","3.14","5742","3.57","33042","92.7%","58.3%","5470","58.9%","7780","61.5%","13250","60.4%","19775","56.9%","3.6pp"
"Rebellious Strike","W","C","70540","8.44","15655","10.47","43043","44.1%","59.1%","7345","56.8%","9081","58.5%","16426","57.7%","26649","60.0%","-2.2pp"
"Riling Dawnbreaker","W","C","44817","3.68","7072","5.30","37187","87.4%","55.9%","6579","53.7%","9919","56.1%","16498","55.2%","21745","56.2%","-1.1pp"
"Sage of the Skies","W","R","2039","1.12","1592","1.13","9670","96.3%","59.3%","1627","66.2%","2303","65.5%","3930","65.8%","5665","54.7%","11.0pp"
"Salt Road Packbeast","W","C","54150","4.41","14861","5.43","83691","90.4%","58.8%","13926","59.4%","18632","60.2%","32558","59.9%","50965","58.0%","1.9pp"
"Smile at Death","W","M","1183","1.28","482","","2390","81.2%","54.0%","416","","519","53.4%","935","52.6%","1452","54.8%","-2.2pp"
"Starry-Eyed Skyrider","W","U","14116","2.87","2105","3.59","11246","88.5%","56.0%","2011","54.5%","2374","53.6%","4385","54.0%","6860","57.3%","-3.3pp"
"Static Snare","W","U","11761","2.40","4445","2.80","25515","95.1%","57.2%","4305","56.1%","5919","59.0%","10224","57.8%","15209","56.8%","1.0pp"
"Stormbeacon Blade","W","U","26530","6.01","3809","8.08","11290","48.9%","54.6%","1911","50.5%","2485","50.8%","4396","50.7%","6897","57.0%","-6.3pp"
"Stormplain Detainment","W","C","36472","3.00","8161","3.94","46554","93.7%","56.8%","7894","56.1%","10725","58.8%","18619","57.6%","27781","56.2%","1.5pp"
"Sunpearl Kirin","W","U","14236","2.84","4100","3.33","23854","93.8%","58.3%","4275","58.9%","5230","59.5%","9505","59.2%","14305","57.7%","1.5pp"
"Teeming Dragonstorm","W","U","15731","3.15","6081","3.63","31735","85.9%","56.3%","5358","57.3%","7846","59.4%","13204","58.6%","18324","54.7%","3.9pp"
"Tempest Hawk","W","C","61638","5.55","5033","8.26","10342","33.1%","57.2%","1710","55.3%","2051","55.2%","3761","55.3%","4767","55.6%","-0.3pp"
